Series;nota;gênero
Game of Thrones;4,8;Drama
Breaking Bad;4,8;Drama
Chernobyl;4,8;Drama
Sherlock;4,8;Aventura
Suits;4,8;Comédia
Supernatural;4,7;Terror
Grey's Anatomy;4,7;Drama
Friends;4,7;Comédia
Anne with an E;4,7;Drama
Stranger Things;4,7;Fantasia
Vikings;4,7;Aventura
How To Get Away With Murder;4,7;Suspense
Prison Break;4,7;Suspense
Demolidor;4,7;Drama
How I Met Your Mother;4,7;Comédia
House;4,7;Comédia
House of Cards;4,7;Suspense
Sons of Anarchy;4,7;Drama
The Originals;4,7;Terror
The Walking Dead;4,7;Terror
Os Simpsons;4,7;Animação
Outlander;4,7;Fantasia
The Flash ;4,7;Ação
Teen Wolf;4,7;Fantasia
Doctor Who ;4,7;Ficção Cientifica
The Blacklist;4,7;Drama
The Handmaid's Tale;4,7;Ficção Cientifica
Westworld;4,7;Drama
 Sex Education;4,7;Comédia
Orphan Black;4,7;Ficção Cientifica
The Big Bang Theory;4,6;Comédia
Mr. Robot;4,6;Suspense
The Vampire Diaries;4,6;Fantasia
Sense8;4,6;Fantasia
Todo Mundo Odeia o Chris;4,6;Comédia
O Justiceiro;4,6;Drama
Dark;4,6;Ficção Cientifica
Once Upon a Time;4,6;Ficção Cientifica
Penny Dreadful;4,6;Terror
Rick and Morty;4,6;Animação
The Crown;4,6;Drama
A Maldição da Residência Hill;4,6;Terror
Orange Is the New Black;4,6;Comédia
Eu, a Patroa e as Crianças;4,6;Comédia
Dexter;4,6;Suspense
Brooklyn Nine-Nine;4,6;Comédia
The Ranch;4,6;Comédia
Blindspot;4,6;Suspense
Gossip Girl;4,6;Drama
Um Maluco no Pedaço;4,6;Comédia
