SERIES;NOTAS;ANO DE LANÃ‡AMENTO
Breaking Bad;9.5;2008
Game of Thrones;9.4;2011
Rick e Morty;9.3;2013
Cosmos: Uma Odisséia do Espaço-Tempo;9.3;2014
A Escuta;9.3;2002
Avatar: A Lenda de Aang;9.2;2005
Família Soprano;9.2;1999
Sherlock;9.1;2010
Fargo;9.0;2014
True Detective;9.0;2014
Death Note: Notas da Morte;9.0;2006
Firefly;9.0;2002
Friends;8.9;1994
Stranger Things;8.8;2016
Narcos;8.8;2015
Ataque dos Titãs;8.8;2013
Peaky Blinders: Sangue Apostas e Navalhas;8.8;2013
Black Mirror;8.8;2011
House of Cards;8.8;2013
Westworld;8.8;2016
It's Always Sunny in Philadelphia;8.8;2005
Vida de Escritório;8.8;2005
Caindo na Real;8.8;2003
Freaks & Geeks;8.8;1999
Twin Peaks;8.8;1990
Seinfeld;8.8;1989
A Maldição da Residência Hill;8.7;2018
Dark;8.7;2017
Better Call Saul;8.7;2015
Top Gear;8.7;2002
Downton Abbey;8.7;2010
Dexter;8.7;2006
Dr. House;8.7;2004
Battlestar Galactica;8.7;2004
Roma;8.7;2005
A Sete Palmos;8.7;2001
Dragon Ball Z;8.7;1996
South Park;8.7;1997
Os Simpsons;8.7;1989
O Justiceiro;8.6;2017
Caçador de Mentes;8.6;2017
Big Little Lies;8.6;2017
Demolidor;8.6;2015
Vikings;8.6;2013
Shameless;8.6;2011
Archer;8.6;2009
Parks and Recreation;8.6;2009
Filhos da Anarquia;8.6;2008
Boardwalk Empire: O Império do Contrabando;8.6;2010
Mad Men: Inventando Verdades;8.6;2007
Doctor Who;8.6;2005
Arquivo X;8.6;1993
La Casa de Papel;8.5;2017
O Conto da Aia;8.5;2017
Mr. Robot: Sociedade Hacker;8.5;2015
Taboo;8.5;2017
Silicon Valley;8.5;2014
Hannibal;8.5;2013
Suits;8.5;2011
Luther;8.5;2010
Spartacus;8.5;2010
Community;8.5;2009
The IT Crowd;8.5;2006
Lei & Desordem;8.4;2013
Pessoa de Interesse;8.4;2011
Família Moderna;8.4;2009
Fronteiras;8.4;2008
Sobrenatural;8.4;2005
Entourage: Fama & Amizade;8.4;2004
Futurama;8.4;1999
Ozark;8.3;2017
Sense8;8.3;2015
Homeland;8.3;2011
The Walking Dead;8.3;2010
Californication;8.3;2007
Como Eu Conheci Sua Mãe;8.3;2005
Prison Break;8.3;2005
Lost;8.3;2004
Scrubs;8.3;2001
24 Horas;8.3;2001
Lúcifer;8.2;2015
Os Originais;8.2;2013
Penny Dreadful;8.2;2014
Crimes do Colarinho Branco;8.2;2009
Chuck;8.2;2007
Um Maluco na TV;8.2;2006
Buffy: A Caça-Vampiros;8.2;1997
The End of the F***ing World;8.1;2017
Como Defender um Assassino;8.1;2014
Orange Is the New Black;8.1;2013
Altered Carbon;8.1;2018
História de Horror Americana;8.1;2011
Castle;8.1;2009
O Mentalista;8.1;2008
Big Bang: A Teoria;8.1;2007
Mentes Criminosas;8.1;2005
Uma Família da Pesada;8.1;1999
That '70s Show;8.1;1998
Lista Negra;8.0;2013
Jessica Jones;8.0;2015
Engana-me se Puder;8.0;2009
Malcolm;8.0;2000
Revenge;7.9;2011
True Blood;7.9;2008
Um Maluco no Pedaço;7.9;1990
Gotham;7.8;2014
Flash;7.8;2014
Era Uma Vez;7.8;2011
Os 13 Porquês;7.8;2017
Grimm: Contos de Terror;7.8;2011
Bones;7.8;2005
NCIS: Investigações Criminais;7.8;2003
Os 100;7.7;2014
New Girl;7.7;2011
Diários de um Vampiro;7.7;2009
Arqueiro;7.6;2012
Lobo Adolescente;7.6;2011
Anatomia de Grey;7.6;2005
Agentes S.H.I.E.L.D. da Marvel;7.5;2013
Heróis;7.5;II 
Luke Cage;7.4;2016
Maldosas;7.4;2010
Desperate Housewives;7.4;2004
Gossip Girl: A Garota do Blog;7.4;2007
American Dad!;7.4;2005
Smallville: As Aventuras do Superboy;7.4;2001
Dois Homens e Meio;7.0;2003
Fear the Walking Dead;6.9;2015
Glee: Em Busca da Fama;6.7;2009
Punho de Ferro;6.5;2017
Supergirl;6.3;2015
